2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
699   C1=C[C@]2(C(=CC1=O)[C@H](C[C@@H]1[C@@]2([C@H](C[C@]2([C@H]1C[C@H]([C@@H]2C(=O)CO)C)C)O)Cl)F)C	

702   Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1	842

705   c12n(c3c(nc1cc(c(=NC(C)C)c2)Nc1ccc(Cl)cc1)cccc3)c1ccc(cc1)Cl	

709   Clc1cc2N(CCCN3CCN(CC3)CCO)c3c(Sc2cc1)cccc3	850

715   Clc1ccc(OCC(O)CO)cc1	856

732   C1=CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)OCCl)O)C)C	

